"kingdom","phylum","class","order","family","genus","species","SH_species","OTU","exploration_type","Ecm_lineage","mean_gs"
"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","unknown","unknown","Glomeraceae_sp","ITSall_OTUn_1678","unknown","unknown","unknown"
"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentellopsis","unknown","Tomentellopsis_sp","ITSall_OTUj_644","medium-distance_smooth","/tomentellopsis","unknown"
"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","unknown","Tomentella_sp","ITSall_OTUj_286","medium-distance_smooth","/tomentella-thelephora","unknown"
"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","unknown","unknown","Rhizophagus_sp","ITSall_OTUj_9587","unknown","unknown","unknown"
"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Bankeraceae","unknown","unknown","Phellodon_sp","ITSall_OTUn_12309","unknown","unknown","unknown"
"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","unknown","Russula_sp","ITSall_OTUa_9138","contact","/russula-lactarius","51.2346153846154"
"Fungi","Glomeromycota","Glomeromycetes","Glomerales","unknown","unknown","unknown","Glomeromycota_sp","ITSall_OTUf_574","unknown","unknown","unknown"
"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius","unknown","Lactarius_sp","ITSall_OTUj_13635","medium-distance_smooth","/russula-lactarius","69.8671428571429"
"Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","unknown","Oidiodendron_sp","ITSall_OTUj_17844","unknown","unknown","46.43"
"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","unknown","unknown","Cortinarius_cremeolina","ITSall_OTUa_6733","unknown","unknown","unknown"
"Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","unknown","unknown","Sebacina_sp","ITSall_OTUm_94","unknown","unknown","unknown"
